Sector,FFI_Start,FFI_End,Camera,Description
1,2018207052942,2018207055942,2,"single long firefly"
1,2018207052942,2018207055942,3,"single long firefly"
1,2018207052942,2018207055942,4,"single long firefly"
1,2018208105942,2018208112942,3,"single firefly"
1,2018217012942,2018217015942,1,"fireworks"
1,2018217012942,2018217015942,2,"fireworks"
1,2018217012942,2018217015942,3,"fireworks"
1,2018217012942,2018217015942,4,"fireworks"
1,2018217192942,2018217195942,3,"3 fireflies"
1,2018217192942,2018217195942,4,"3 fireflies"
1,2018218015942,2018218022942,2,"2 fireflies"
1,2018221132941,2018221135941,3,"single firefly"
1,2018221185941,2018221195941,2,"2 fireflies"
1,2018221235941,2018222002941,2,"single firefly"
1,2018223152941,2018223155941,3,"single firefly"
2,2018236165941,2018236172941,2,"single firefly"
2,2018239045941,2018239052941,3,"single firefly"
2,2018241025941,2018241035941,1,"fireworks"
2,2018241025941,2018241035941,2,"fireworks"
2,2018241025941,2018241035941,3,"fireworks"
2,2018241025941,2018241035941,4,"fireworks"
3,2018265035941,2018265042941,4,"single firefly"
3,2018265125941,2018265132941,2,"single firefly"
3,2018265125941,2018265132941,3,"single firefly"
3,2018265195941,2018265202941,1,"single firefly"
3,2018272075940,2018272072940,3,"single firefly"
3,2018273095940,2018273102940,1,"fireworks"
3,2018273095940,2018273102940,2,"fireworks"
3,2018273095940,2018273102940,3,"fireworks"
3,2018273095940,2018273102940,4,"fireworks"
3,2018275175940,2018275182940,2,"single firefly"
3,2018276072940,2018276072940,2,"fireflies"
3,2018276072940,2018276072940,3,"fireflies"
3,2018280155940,2018280165940,2,"fireflies"
3,2018280155940,2018280165940,3,"fireflies"
3,2018280155940,2018280165940,4,"fireflies"
3,2018287205940,2018287212940,2,"single firefly"
3,2018289155940,2018289162940,1,"fireflies"
3,2018289155940,2018289162940,2,"fireflies"
3,2018289155940,2018289162940,3,"fireflies"
4,2018293202940,2018293205940,2,"single firefly"
4,2018293202940,2018293205940,3,"single firefly"
4,2018303135940,2018303142940,1,"single firefly"
4,2018306015940,2018306022940,1,"single firefly"
4,2018306015940,2018306022940,2,"single firefly"
4,2018308055940,2018308062940,1,"fireflies"
4,2018308055940,2018308062940,2,"fireflies"
4,2018308122940,2018308125940,2,"single firefly"
4,2018309015940,2018309022940,2,"single firefly"
4,2018309225940,2018309232940,3,"single firefly"
4,2018309225940,2018309232940,4,"single firefly"
4,2018312035940,2018312042940,1,"fireflies"
4,2018312035940,2018312042940,2,"fireflies"
4,2018317142940,2018317145940,2,"fireworks"
4,2018317142940,2018317145940,3,"fireworks"
4,2018317142940,2018317145940,4,"fireworks"
5,2018319172939,2018319182939,1,"Fireflies"
5,2018319172939,2018319182939,2,"Fireflies"
5,2018319172939,2018319182939,3,"Fireflies"
5,2018321095939,2018321102939,2,"Fireflies"
5,2018321095939,2018321102939,3,"Fireflies"
5,2018321095939,2018321102939,4,"Fireflies"
5,2018324152939,2018324155939,2,"Fireflies"
5,2018324152939,2018324155939,4,"Fireflies"
5,2018325082939,2018325085939,3,"Firefly"
5,2018325082939,2018325085939,4,"Firefly"
5,2018327185939,2018327192939,1,"Fireflies"
5,2018327185939,2018327192939,2,"Fireflies"
5,2018327185939,2018327192939,3,"Fireflies"
5,2018328092939,2018328095939,1,"Firefly"
5,2018328092939,2018328095939,2,"Firefly"
5,2018328092939,2018328095939,3,"Firefly"
5,2018333052939,2018333055939,1,"Firefly"
5,2018335185939,2018335192939,1,"Fireworks"
5,2018335185939,2018335192939,2,"Fireworks"
5,2018335185939,2018335192939,3,"Fireworks"
5,2018335185939,2018335192939,4,"Fireworks"
5,2018336125939,2018336132939,3,"Firefly"
5,2018338085939,2018338092939,2,"Firefly"
5,2018338185939,2018338192939,3,"Firefly"
5,2018339002939,2018339005939,4,"Firefly"
6,2018350102939,2018350105939,3,"Firefly"
6,2018352065939,2018352072939,4,"Firefly"
6,2018355002939,2018355005939,3,"Fireworks"
6,2018355002939,2018355005939,4,"Fireworks"
6,2018355162939,2018355165939,1,"Fireworks"
6,2018355162939,2018355165939,2,"Fireworks"
6,2018355162939,2018355165939,3,"Fireworks"
6,2018355162939,2018355165939,4,"Fireworks"
6,2018360075939,2018360082939,2,"Firefly"
6,2018361165939,2018361172939,2,"Fireflies"
6,2018361165939,2018361172939,3,"Fireflies"
6,2018362162939,2018362165939,2,"Firefly"
6,2018363155939,2018363172939,1,"Fireworks"
6,2019004155938,2019004162938,4,"Fireflies"
6,2019005212938,2019005215938,4,"Firefly"
6,2019006092938,2019006095938,3,"Firefly"
6,2019006092938,2019006095938,4,"Firefly"
7,2019021155936,2019021162936,1,"Fireflies"
7,2019021155936,2019021162936,2,"Fireflies"
7,2019021155936,2019021162936,3,"Fireflies"
7,2019032052936,2019032055936,2,"Fireflies"
7,2019032052936,2019032055936,3,"Fireflies"
7,2019032052936,2019032055936,4,"Fireflies"
8,2019051172935,2019051175935,3,"Firefly"
8,2019052222935,2019052225935,1,"Firefly"
8,2019053162935,2019053165935,2,"Firefly"
8,2019053162935,2019053165935,3,"Firefly"
8,2019058085935,2019058095935,2,"Fireflies"
8,2019058085935,2019058095935,3,"Fireflies"
9,2019066202934,2019066205934,1,"Fireflies"
9,2019066202934,2019066205934,2,"Fireflies"
9,2019071232934,2019071235934,1,"Firefly"
9,2019071235934,2019072002934,4,"Firefly"
9,2019074105934,2019074112934,1,"Firefly"
9,2019078105934,2019078112934,1,"Firefly"
10,2019088042934,2019088045934,1,"Firefly"
10,2019088042934,2019088045934,2,"Firefly"
10,2019089162933,2019089165933,1,"Firefly"
10,2019089162933,2019089165933,2,"Firefly"
10,2019095065933,2019095072933,1,"Firefly"
10,2019109155934,2019109162933,2,"Fireflies"
11,2019120172932,2019120175932,2,"Fireflies"
11,2019120172932,2019120175932,3,"Fireflies"
11,2019125175932,2019125182932,4,"Firefly"
11,2019125192932,2019125195932,2,"Fireflies"
11,2019125192932,2019125195932,3,"Fireflies"
11,2019125192932,2019125195932,4,"Fireflies"
11,2019125192932,2019125195932,2,"Fireflies"
11,2019125192932,2019125195932,3,"Fireflies"
11,2019125192932,2019125195932,4,"Fireflies"
11,2019136155932,2019136162932,1,"Fireworks"
11,2019136155932,2019136162932,2,"Fireworks"
11,2019136155932,2019136162932,3,"Fireworks"
11,2019136155932,2019136162932,4,"Fireworks"
11,2019137122931,2019137125931,1,"Fireflies"
12,2019142135932,2019142142932,3,"Firefly"
13,2019171035930,2019171042930,2,"Fireworks"
13,2019171035930,2019171042930,3,"Fireworks"
13,2019174222930,2019174225930,3,"Firefly"
13,2019183155930,2019183182930,1,"Fireworks"
13,2019183155930,2019183182930,2,"Fireworks"
13,2019183155930,2019183182930,3,"Fireworks"
13,2019183155930,2019183182930,4,"Fireworks"
13,2019185045930,2019185052930,3,"Fireflies"
13,2019185055930,2019185062930,2,"Fireflies"
13,2019185055930,2019185062930,3,"Fireflies"
13,2019188165930,2019188172930,1,"Fireflies"
13,2019189225930,2019190005930,1,"Fireworks"
13,2019189225930,2019190005930,2,"Fireworks"
13,2019189225930,2019190005930,3,"Fireworks"
13,2019189225930,2019190005930,4,"Fireworks"
13,2019190152930,2019190172930,1,"Fireworks"
13,2019190152930,2019190172930,2,"Fireworks"
13,2019190152930,2019190172930,3,"Fireworks"
13,2019190152930,2019190172930,4,"Fireworks"
13,2019191155930,2019191165930,1,"Firefly"
13,2019198082929,2019198085929,1,"Firefly"
13,2019198122929,2019198125929,3,"Firefly"
13,2019198162929,2019198165929,3,"Firefly"
13,2019198185929,2019198192929,2,"Firefly"
13,2019198185929,2019198192929,3,"Firefly"
14,2019202015929,2019202015929,2,"Firefly"
14,2019202015929,2019202015929,3,"Firefly"
14,2019202015929,2019202015929,4,"Firefly"
14,2019213222929,2019213225929,2,"Firefly"
15,2019234065928,2019234072928,2,"Fireflies"
15,2019234065928,2019234072928,3,"Fireflies"
15,2019234065928,2019234072928,4,"Fireflies"
15,2019234155928,2019234162928,2,"Fireflies"
15,2019234155928,2019234162928,4,"Fireflies"
15,2019241185928,2019241192928,4,"Firefly"
15,2019242222928,2019242225928,3,"Firefly"
15,2019248202928,2019248205928,3,"Firefly"
15,2019248202928,2019248205928,4,"Firefly"
16,2019255032927,2019255035927,2,"Firefly"
16,2019268052927,2019268055927,4,"Firefly"
16,2019269165927,2019269172927,3,"Firefly"
17,2019296012926,2019296015926,3,"Firefly"
17,2019299022926,2019299025926,2,"Fireflies"
17,2019299022926,2019299025926,3,"Fireflies"
17,2019299022926,2019299025926,4,"Fireflies"
17,2019302065926,2019302072926,1,"Firefly"
18,2019307232925,2019307235925,4,"Firefly"
18,2019308062925,2019308072925,2,"Firefly"
18,2019308062925,2019308072925,3,"Firefly"
18,2019308085925,2019308092925,2,"Fireflies"
18,2019308085925,2019308092925,3,"Fireflies"
18,2019310005925,2019310012925,1,"Firefly"
18,2019310025925,2019310032925,3,"Firefly"
18,2019311025925,2019311032925,1,"Firefly"
18,2019316155925,2019316162925,1,"Firefly"
18,2019322042925,2019322045925,4,"Firefly"
18,2019325145925,2019325152925,2,"Fireflies"
18,2019325145925,2019325152925,3,"Fireflies"
18,2019326062925,2019326065925,1,"Fireflies"
18,2019326062925,2019326065925,3,"Fireflies"
18,2019330012925,2019330015925,2,"Firefly"
19,2019334125924,2019334132924,3,"Firefly"
19,2019337105924,2019337112924,1,"Fireflies"
19,2019337105924,2019337112924,3,"Fireflies"
19,2019338095924,2019338102924,1,"Firefly"
19,2019338095924,2019338102924,2,"Firefly"
19,2019340205924,2019340212924,4,"Firefly"
19,2019352025923,2019352032923,1,"Fireworks"
19,2019352025923,2019352032923,2,"Fireworks"
19,2019352025923,2019352032923,3,"Fireworks"
19,2019352025923,2019352032923,4,"Fireworks"
19,2019352175923,2019352182923,1,"Fireflies"
19,2019352175923,2019352182923,4,"Fireflies"
20,2020002185923,2020002192923,1,"Fireflies"
20,2020005165923,2020005172923,3,"Firefly"
