Sector Cam CCD Start End
9  1 1 227348 228224
9  1 1 237073 237882
9  1 2 227348 228108
9  1 2 237073 237653
9  1 3 227348 228061
9  1 3 237073 237605
9  1 4 227348 228179
9  1 4 237073 237814
9  2 1 227348 228215
9  2 1 237073 237863
9  2 2 227348 228104
9  2 2 237073 237654
9  2 3 227348 228144
9  2 3 237073 237691
9  2 4 227348 228169
9  2 4 237073 237774
9  3 1 227348 227851
9  3 1 237073 237352
9  3 2 227348 227913
9  3 2 237073 237434
9  3 3 227348 228144
9  3 3 237073 237687
9  3 4 227348 227979
9  3 4 237073 237528
9  4 1 227348 228156
9  4 1 237073 237720
9  4 2 227348 228186
9  4 2 237073 237819
9  4 3 227348 228547
9  4 3 237073 238196
9  4 4 227348 228176
9  4 4 237073 237841
10 1 1 246223 247418
10 1 1 255821 257363
10 1 2 246223 247237
10 1 2 255821 257092
10 1 3 246223 247207
10 1 3 255821 257055
10 1 4 246223 247279
10 1 4 255821 257146
10 2 1 246223 247351
10 2 1 255821 257215
10 2 2 246223 247011
10 2 2 255821 256886
10 2 3 246223 247112
10 2 3 255821 256956
10 2 4 246223 247144
10 2 4 255821 256976
10 3 1 246223 246415
10 3 1 255821 256117
10 3 2 246223 246576
10 3 2 255821 256215
10 3 3 246223 246919
10 3 3 255821 256813
10 3 4 246223 246850
10 3 4 255821 256715
10 4 1 246223 246919
10 4 1 255821 256821
10 4 2 246223 247005
10 4 2 255821 256898
10 4 3 246223 247389
10 4 3 255821 257239
10 4 4 246223 247035
10 4 4 255821 256914
11 1 1 265908 268190
11 1 1 275991 278455
11 1 2 265908 268190
11 1 2 275991 278455
11 1 3 265908 268190
11 1 3 275991 278455
11 1 4 265908 268190
11 1 4 275991 278455
11 2 1 265908 266909
11 2 1 275991 277085
11 2 2 265908 266808
11 2 2 275991 277028
11 2 3 265908 266769
11 2 3 275991 276933
11 2 4 265908 266961
11 2 4 275991 277153
11 3 1 265908 266150
11 3 1 275991 276250
11 3 2 265908 266141
11 3 2 275991 276539
11 3 3 265908 266446
11 3 3 275991 276531
11 3 4 265908 266841
11 3 4 275991 277043
11 4 1 265908 266900
11 4 1 275991 277090
11 4 2 265908 266810
11 4 2 275991 276909
11 4 3 265908 267023
11 4 3 275991 277135
11 4 4 265908 267052
11 4 4 275991 277374
12 1 1 286196 288125
12 1 1 297056 298530
12 1 2 286196 288125
12 1 2 297056 298542
12 1 3 286196 288125
12 1 3 297056 298375
12 1 4 286196 288125
12 1 4 297056 298543
13 1 1 307051–308684
13 1 2 307051–308704
13 1 3 307051–308875
13 1 4 307051–308242
