time,mag,reg_oflux,eflux,nflux_ori,nflux_err,nflux_dtr,lc_part,pass_sparse,pass_clean_outlier,pass_clean_scatter,pass_full_outlier
2036.286018,11.204839,4943.837768,3.645474,1.008319,7.3738e-04,1.002954,1,True,True,True,True
2036.292962,11.205311,4941.690785,3.644941,1.007881,7.3759e-04,1.002523,1,True,True,True,True
2036.299907,11.205218,4942.116578,3.646440,1.007968,7.3783e-04,1.002614,1,True,True,True,True
2036.306852,11.206162,4937.820342,3.645272,1.007092,7.3824e-04,1.001747,1,True,True,True,True
2036.313796,11.203821,4948.478788,3.647303,1.009265,7.3706e-04,1.003914,1,True,True,True,True
2036.320741,11.203646,4949.275423,3.646716,1.009428,7.3682e-04,1.004080,1,True,True,True,True
2036.327685,11.205271,4941.871911,3.646287,1.007918,7.3784e-04,1.002583,1,True,True,True,True
2036.334630,11.204099,4947.211131,3.647003,1.009007,7.3718e-04,1.003671,1,True,True,True,True
2036.341575,11.201677,4958.257072,3.650081,1.011260,7.3616e-04,1.005916,1,True,True,True,False
2036.348519,11.203316,4950.780946,3.648123,1.009735,7.3688e-04,1.004404,1,True,True,True,False
2036.355464,11.203141,4951.578742,3.647450,1.009898,7.3662e-04,1.004571,1,True,True,True,False
2036.362408,11.204406,4945.814195,3.646809,1.008722,7.3735e-04,1.003406,1,True,True,True,True
2036.369353,11.203900,4948.115869,3.647764,1.009191,7.3720e-04,1.003878,1,True,True,True,True
2036.376298,11.202188,4955.924243,3.649152,1.010784,7.3632e-04,1.005466,1,True,True,True,False
2036.383242,11.200911,4961.760028,3.650297,1.011974,7.3569e-04,1.006655,1,True,True,True,False
2036.390187,11.202979,4952.314987,3.647295,1.010048,7.3648e-04,1.004743,1,True,True,True,False
2036.397131,11.203864,4948.280401,3.647059,1.009225,7.3704e-04,1.003929,1,True,True,True,True
2036.404076,11.201184,4960.510522,3.650118,1.011719,7.3584e-04,1.006415,1,True,True,True,False
2036.411021,11.202141,4956.141881,3.648274,1.010828,7.3611e-04,1.005534,1,True,True,True,False
2036.417965,11.202556,4954.245012,3.647613,1.010441,7.3626e-04,1.005153,1,True,True,True,False
2036.424910,11.201672,4958.281603,3.649010,1.011265,7.3594e-04,1.005977,1,True,True,True,False
2036.431855,11.201119,4960.810046,3.649424,1.011780,7.3565e-04,1.006495,1,True,True,True,False
2036.438799,11.201702,4958.145682,3.649413,1.011237,7.3604e-04,1.005959,1,True,True,True,False
2036.445744,11.200856,4962.010055,3.650331,1.012025,7.3566e-04,1.006747,1,True,True,True,False
2036.452688,11.202052,4956.548479,3.648530,1.010911,7.3610e-04,1.005644,1,True,True,True,False
2036.459633,11.200954,4961.563378,3.652633,1.011934,7.3619e-04,1.006666,1,True,True,True,False
2036.466578,11.201060,4961.076924,3.650957,1.011835,7.3592e-04,1.006572,1,True,True,True,False
2036.473522,11.201453,4959.280589,3.648972,1.011468,7.3579e-04,1.006212,1,True,True,True,False
2036.480467,11.201491,4959.108243,3.648757,1.011433,7.3577e-04,1.006182,1,True,True,True,False
2036.487411,11.203090,4951.811388,3.646237,1.009945,7.3634e-04,1.004706,1,True,True,True,False
2036.494356,11.200643,4962.984237,3.652643,1.012224,7.3598e-04,1.006977,1,True,True,True,False
2036.501301,11.201121,4960.800696,3.649195,1.011779,7.3561e-04,1.006539,1,True,True,True,False
2036.508245,11.202312,4955.359215,3.648370,1.010669,7.3625e-04,1.005440,1,True,True,True,False
2036.515190,11.201790,4957.741605,3.647452,1.011155,7.3571e-04,1.005928,1,True,True,True,False
2036.522134,11.201862,4957.412465,3.648391,1.011087,7.3595e-04,1.005866,1,True,True,True,False
2036.529079,11.200835,4962.107552,3.650221,1.012045,7.3562e-04,1.006823,1,True,True,True,False
2036.536024,11.201922,4957.141448,3.646743,1.011032,7.3565e-04,1.005820,1,True,True,True,False
2036.542968,11.201308,4959.944601,3.648490,1.011604,7.3559e-04,1.006393,1,True,True,True,False
2036.549913,11.201271,4960.112171,3.648134,1.011638,7.3549e-04,1.006432,1,True,True,True,False
2036.556857,11.202234,4955.718159,3.647348,1.010742,7.3599e-04,1.005545,1,True,True,True,False
2036.563802,11.202559,4954.234920,3.647333,1.010439,7.3621e-04,1.005249,1,True,True,True,False
2036.570747,11.203340,4950.672014,3.645561,1.009713,7.3638e-04,1.004530,1,True,True,True,False
2036.577691,11.202734,4953.435560,3.646316,1.010276,7.3612e-04,1.005096,1,True,True,True,False
2036.584636,11.201783,4957.774574,3.646961,1.011161,7.3560e-04,1.005981,1,True,True,True,False
2036.591580,11.201790,4957.741789,3.647844,1.011155,7.3579e-04,1.005979,1,True,True,True,False
2036.598525,11.201263,4960.148433,3.648667,1.011645,7.3560e-04,1.006472,1,True,True,True,False
2036.605470,11.202797,4953.147057,3.646194,1.010218,7.3614e-04,1.005056,1,True,True,True,False
2036.612414,11.201976,4956.893414,3.647051,1.010982,7.3575e-04,1.005820,1,True,True,True,False
2036.619359,11.201014,4961.287314,3.648062,1.011878,7.3531e-04,1.006717,1,True,True,True,False
2036.626304,11.201521,4958.972769,3.648385,1.011406,7.3571e-04,1.006252,1,True,True,True,False
2036.633248,11.203094,4951.790837,3.647058,1.009941,7.3651e-04,1.004799,1,True,True,True,False
