time,mag,reg_oflux,eflux,nflux_ori,nflux_err,nflux_dtr,lc_part,pass_sparse,pass_clean_outlier,pass_clean_scatter,pass_full_outlier
2036.286018,13.978246,384.327555,1.053634,1.043195,2.7415e-03,1.007087,1,True,True,False,True
2036.292962,13.978313,384.304042,1.052653,1.043131,2.7391e-03,1.007047,1,True,True,False,True
2036.299907,13.974137,385.784816,1.052604,1.047150,2.7285e-03,1.010949,1,True,True,False,True
2036.306852,13.974237,385.749367,1.052663,1.047054,2.7289e-03,1.010877,1,True,True,False,True
2036.313796,13.971110,386.861976,1.053994,1.050074,2.7245e-03,1.013814,1,True,True,False,True
2036.320741,13.971347,386.777637,1.054236,1.049845,2.7257e-03,1.013615,1,True,True,False,True
2036.327685,13.964832,389.105336,1.055991,1.056163,2.7139e-03,1.019736,1,True,True,False,False
2036.334630,13.964392,389.263067,1.056458,1.056592,2.7140e-03,1.020171,1,True,True,False,False
2036.341575,13.969698,387.365481,1.054272,1.051441,2.7216e-03,1.015220,1,True,True,False,False
2036.348519,13.967034,388.317173,1.055266,1.054024,2.7175e-03,1.017735,1,True,True,False,False
2036.355464,13.962843,389.818754,1.056720,1.058100,2.7108e-03,1.021692,1,True,True,False,False
2036.362408,13.959727,390.939306,1.057427,1.061141,2.7048e-03,1.024651,1,True,True,False,False
2036.369353,13.967279,388.229475,1.055254,1.053786,2.7181e-03,1.017570,1,True,True,False,False
2036.376298,13.960810,390.549480,1.059598,1.060083,2.7131e-03,1.023673,1,True,True,False,False
2036.383242,13.967599,388.114879,1.055351,1.053475,2.7192e-03,1.017313,1,True,True,True,False
2036.390187,13.958844,391.257337,1.057974,1.062005,2.7040e-03,1.025571,1,True,True,True,False
2036.397131,13.960704,390.587449,1.057287,1.060186,2.7069e-03,1.023837,1,True,True,True,False
2036.404076,13.961952,390.138769,1.057166,1.058968,2.7097e-03,1.022683,1,True,True,True,False
2036.411021,13.963261,389.668840,1.056541,1.057693,2.7114e-03,1.021472,1,True,True,True,False
2036.417965,13.959780,390.920176,1.058113,1.061089,2.7067e-03,1.024774,1,True,True,True,False
2036.424910,13.961648,390.247954,1.056921,1.059265,2.7083e-03,1.023034,1,True,True,True,False
2036.431855,13.965065,389.021977,1.056049,1.055937,2.7146e-03,1.019841,1,True,True,True,False
2036.438799,13.959118,391.158459,1.057735,1.061736,2.7041e-03,1.025464,1,True,True,True,False
2036.445744,13.958557,391.360519,1.057905,1.062285,2.7031e-03,1.026015,1,True,True,True,False
2036.452688,13.962353,389.994763,1.056679,1.058578,2.7095e-03,1.022456,1,True,True,True,False
2036.459633,13.958311,391.449445,1.060294,1.062526,2.7086e-03,1.026292,1,True,True,True,False
2036.466578,13.961234,390.397056,1.058770,1.059670,2.7120e-03,1.023554,1,True,True,True,False
2036.473522,13.960529,390.650567,1.057174,1.060358,2.7062e-03,1.024241,1,True,True,True,False
2036.480467,13.961545,390.285042,1.059252,1.059366,2.7140e-03,1.023304,1,True,True,True,False
2036.487411,13.957705,391.667773,1.057908,1.063119,2.7010e-03,1.026951,1,True,True,True,False
2036.494356,13.957738,391.655996,1.058345,1.063087,2.7022e-03,1.026942,1,True,True,True,False
2036.501301,13.962785,389.839730,1.057119,1.058157,2.7117e-03,1.022201,1,True,True,True,False
2036.508245,13.961403,390.336308,1.056900,1.059505,2.7077e-03,1.023525,1,True,True,True,False
2036.515190,13.958023,391.553093,1.059389,1.062807,2.7056e-03,1.026737,1,True,True,True,False
2036.522134,13.958730,391.298279,1.058012,1.062116,2.7039e-03,1.026091,1,True,True,True,False
2036.529079,13.963177,389.698768,1.058615,1.057774,2.7165e-03,1.021918,1,True,True,True,False
2036.536024,13.961308,390.370475,1.056964,1.059597,2.7076e-03,1.023701,1,True,True,True,False
2036.542968,13.959442,391.041669,1.057321,1.061419,2.7039e-03,1.025483,1,True,True,True,False
2036.549913,13.959729,390.938617,1.057898,1.061140,2.7060e-03,1.025235,1,True,True,True,False
2036.556857,13.961499,390.301497,1.056810,1.059410,2.7077e-03,1.023585,1,True,True,True,False
2036.563802,13.960433,390.685136,1.056731,1.060452,2.7048e-03,1.024613,1,True,True,True,False
2036.570747,13.959386,391.061908,1.057641,1.061474,2.7045e-03,1.025623,1,True,True,True,False
2036.577691,13.962896,389.799918,1.056329,1.058049,2.7099e-03,1.022335,1,True,True,True,False
2036.584636,13.962291,390.016880,1.056265,1.058638,2.7083e-03,1.022926,1,True,True,True,False
