time,mag,reg_oflux,eflux,nflux_ori,nflux_err,nflux_dtr,lc_part,pass_sparse,pass_clean_outlier,pass_clean_scatter,pass_full_outlier
1325.328888,10.643746,8288.989020,2.706521,0.978292,3.2652e-04,0.999099,1,True,True,True,True
1325.349722,10.643606,8290.054877,2.717946,0.978418,3.2786e-04,0.999205,1,True,True,True,True
1325.370556,10.643302,8292.377892,2.731436,0.978692,3.2939e-04,0.999463,1,True,True,True,True
1325.391390,10.643118,8293.788666,2.740398,0.978858,3.3042e-04,0.999611,1,True,True,True,True
1325.412224,10.642806,8296.167072,2.744336,0.979139,3.3080e-04,0.999876,1,True,True,True,True
1325.433058,10.642741,8296.668636,2.746016,0.979198,3.3098e-04,0.999915,1,True,True,True,True
1325.453892,10.642177,8300.972981,2.746984,0.979706,3.3092e-04,1.000411,1,True,True,True,True
1325.474726,10.642887,8295.550904,2.747086,0.979066,3.3115e-04,0.999736,1,True,True,True,True
1325.495560,10.642650,8297.364213,2.749789,0.979280,3.3141e-04,0.999933,1,True,True,True,True
1325.516394,10.641706,8304.581582,2.752625,0.980132,3.3146e-04,1.000780,1,True,True,True,True
1325.537228,10.642192,8300.862550,2.755881,0.979693,3.3200e-04,1.000310,1,True,True,True,True
1325.558062,10.642039,8302.031908,2.758821,0.979831,3.3231e-04,1.000429,1,True,True,True,True
1325.578895,10.642153,8301.163807,2.761974,0.979729,3.3272e-04,1.000303,1,True,True,True,True
1325.599729,10.642342,8299.716342,2.763633,0.979558,3.3298e-04,1.000106,1,True,True,True,True
1325.620563,10.642636,8297.471348,2.764744,0.979293,3.3320e-04,0.999814,1,True,True,True,True
1325.641397,10.641552,8305.754644,2.764757,0.980271,3.3287e-04,1.000790,1,True,True,True,True
1325.662231,10.641463,8306.439156,2.762703,0.980351,3.3260e-04,1.000851,1,True,True,True,True
1325.683065,10.641852,8303.464639,2.760572,0.980000,3.3246e-04,1.000470,1,True,True,True,True
1325.703899,10.641346,8307.333709,2.761212,0.980457,3.3238e-04,1.000914,1,True,True,True,True
1325.724733,10.641864,8303.372341,2.761455,0.979989,3.3257e-04,1.000415,1,True,True,True,True
1325.745567,10.642026,8302.131842,2.763160,0.979843,3.3283e-04,1.000244,1,True,True,True,True
1325.766401,10.642477,8298.685802,2.765419,0.979436,3.3324e-04,0.999807,1,True,True,True,True
1325.787235,10.641460,8306.457511,2.769224,0.980353,3.3338e-04,1.000721,1,True,True,True,True
1325.808069,10.642375,8299.463820,2.772104,0.979528,3.3401e-04,0.999857,1,True,True,True,True
1325.828902,10.642117,8301.438142,2.774461,0.979761,3.3421e-04,1.000072,1,True,True,True,True
1325.849736,10.641925,8302.906399,2.777009,0.979934,3.3446e-04,1.000227,1,True,True,True,True
1325.870570,10.641524,8305.972997,2.776451,0.980296,3.3427e-04,1.000575,1,True,True,True,True
1325.891404,10.642753,8296.572568,2.772561,0.979187,3.3418e-04,0.999421,1,True,True,True,True
1325.912238,10.641743,8304.295490,2.771706,0.980098,3.3377e-04,1.000329,1,True,True,True,True
1325.933072,10.641899,8303.104922,2.770400,0.979958,3.3366e-04,1.000164,1,True,True,True,True
1325.953906,10.641090,8309.288226,2.770671,0.980688,3.3344e-04,1.000886,1,True,True,True,True
1325.974740,10.642376,8299.452041,2.768944,0.979527,3.3363e-04,0.999680,1,True,True,True,True
1325.995574,10.641970,8302.559686,2.769533,0.979893,3.3358e-04,1.000032,1,True,True,True,True
1326.016408,10.641478,8306.319350,2.772066,0.980337,3.3373e-04,1.000463,1,True,True,True,True
1326.037242,10.641609,8305.323634,2.775035,0.980220,3.3413e-04,1.000321,1,True,True,True,True
1326.058075,10.641172,8308.662530,2.774952,0.980614,3.3398e-04,1.000701,1,True,True,True,True
1326.078909,10.642434,8299.012325,2.774239,0.979475,3.3429e-04,0.999517,1,True,True,True,True
1326.099743,10.641359,8307.232422,2.776644,0.980445,3.3424e-04,1.000485,1,True,True,True,True
1326.120577,10.641673,8304.832269,2.776517,0.980162,3.3433e-04,1.000174,1,True,True,True,True
1326.141411,10.641165,8308.716029,2.778406,0.980620,3.3440e-04,1.000620,1,True,True,True,True
1326.162245,10.641787,8303.956432,2.778672,0.980058,3.3462e-04,1.000025,1,True,True,True,True
1326.183079,10.641865,8303.362684,2.778725,0.979988,3.3465e-04,0.999931,1,True,True,True,True
1326.203913,10.641986,8302.438937,2.778755,0.979879,3.3469e-04,0.999798,1,True,True,True,True
1326.224747,10.640883,8310.872226,2.780524,0.980875,3.3456e-04,1.000792,1,True,True,True,True
1326.245580,10.641435,8306.654425,2.779705,0.980377,3.3464e-04,1.000262,1,True,True,True,True
1326.266414,10.642288,8300.129099,2.780161,0.979607,3.3495e-04,0.999454,1,True,True,True,True
1326.287248,10.641693,8304.679893,2.779406,0.980144,3.3468e-04,0.999980,1,True,True,True,True
1326.308082,10.641205,8308.413571,2.779888,0.980584,3.3459e-04,1.000408,1,True,True,True,True
1326.328916,10.641125,8309.022877,2.781103,0.980656,3.3471e-04,1.000459,1,True,True,True,True
1326.349750,10.644210,8285.451723,2.779220,0.977874,3.3543e-04,0.997599,1,True,True,True,True
1326.370584,10.641762,8304.148962,2.783780,0.980081,3.3523e-04,0.999829,1,True,True,True,True
1326.391418,10.641677,8304.796734,2.785232,0.980157,3.3538e-04,0.999885,1,True,True,True,True
1326.412252,10.641090,8309.288368,2.787464,0.980688,3.3546e-04,1.000404,1,True,True,True,True
1326.433085,10.641678,8304.794372,2.788879,0.980157,3.3582e-04,0.999841,1,True,True,True,True
1326.453919,10.640774,8311.710553,2.791654,0.980973,3.3587e-04,1.000651,1,True,True,True,True
1326.474753,10.641139,8308.915281,2.792665,0.980644,3.3610e-04,1.000293,1,True,True,True,True
1326.495587,10.641157,8308.776737,2.794218,0.980627,3.3630e-04,1.000254,1,True,True,True,True
1326.516421,10.641725,8304.433636,2.796118,0.980115,3.3670e-04,0.999710,1,True,True,True,True
1326.537255,10.641635,8305.121046,2.798685,0.980196,3.3698e-04,0.999770,1,True,True,True,True
