time,mag,cbv_oflux,eflux,nflux_ori,nflux_err,nflux_dtr,lc_part,pass_sparse,pass_clean_outlier,pass_clean_scatter,pass_full_outlier
1325.328888,13.190966,793.621978,0.863857,1.248867,1.0885e-03,1.009695,1,True,False,True,True
1325.349722,13.194205,791.257880,0.872588,1.245146,1.1028e-03,1.006839,1,True,False,True,True
1325.370556,13.193485,791.782867,0.882926,1.245973,1.1151e-03,1.007659,1,True,False,True,True
1325.391390,13.195511,790.306291,0.892669,1.243649,1.1295e-03,1.005932,1,True,False,True,True
1325.412224,13.196675,789.459569,0.900085,1.242317,1.1401e-03,1.005006,1,True,False,True,True
1325.433058,13.197317,788.993323,0.902708,1.241583,1.1441e-03,1.004564,1,True,False,True,True
1325.453892,13.198443,788.175028,0.902626,1.240295,1.1452e-03,1.003674,1,True,True,True,True
1325.474726,13.197917,788.556977,0.902563,1.240896,1.1446e-03,1.004312,1,True,True,True,True
1325.495560,13.199489,787.416259,0.902041,1.239101,1.1456e-03,1.003010,1,True,True,True,True
1325.516394,13.198993,787.775894,0.902700,1.239667,1.1459e-03,1.003620,1,True,True,True,True
1325.537228,13.199080,787.712617,0.903684,1.239568,1.1472e-03,1.003691,1,True,True,True,True
1325.558062,13.201128,786.228287,0.903982,1.237232,1.1498e-03,1.001951,1,True,True,True,True
1325.578895,13.199082,787.711550,0.905279,1.239566,1.1493e-03,1.003994,1,True,True,True,True
1325.599729,13.204428,783.842467,0.903704,1.233477,1.1529e-03,0.999213,1,True,True,True,True
1325.620563,13.201626,785.868041,0.902590,1.236665,1.1485e-03,1.001947,1,True,True,True,True
1325.641397,13.204049,784.115803,0.899811,1.233908,1.1475e-03,0.999864,1,True,True,True,True
1325.662231,13.203019,784.860192,0.897156,1.235079,1.1431e-03,1.000965,1,True,True,True,True
1325.683065,13.201149,786.213294,0.895324,1.237208,1.1388e-03,1.002842,1,True,True,True,True
1325.703899,13.201830,785.720168,0.893711,1.236432,1.1374e-03,1.002365,1,True,True,True,True
